高知銀行,第二地銀,対応する,2019年3月,"2020年3月(本人口座間の移動・決済)
2020年6月(他人口座への移動・決済)",検討中,検討中,https://www.kochi-bank.co.jp/houshin/open_api.html,
福岡中央銀行,第二地銀,対応する,2020年3月,2020年3月,-,-,http://www.fukuokachuo-bank.co.jp/other/open_api.html,
佐賀共栄銀行,第二地銀,対応する,2020年3月,2020年3月,-,-,https://www.kyogin.co.jp/uploads/files/news_release/2018/30.02.28-017.pdf,
長崎銀行,第二地銀,対応する,2020年3月,2020年3月,検討中,検討中,http://www.nagasakibank.co.jp/top/pdf/release20180301_01.pdf,
熊本銀行,第二地銀,対応する,2018年9月,2020年春頃,2018年6月,2018年6月,http://www.kumamotobank.co.jp/announcement/newsrelease/PAGE_051069.html,
豊和銀行,第二地銀,対応する,2020年3月,2020年3月,-,-,http://www.howabank.co.jp/docs/300228.pdf,
宮崎太陽銀行,第二地銀,対応する,2020年3月,2020年3月,-,-,http://www.taiyobank.co.jp/contents/index.php?blogid=15&catid=15&itemid=2323,
南日本銀行,第二地銀,対応する,2020年3月,2020年3月,検討中,検討中,http://nangin.jp/information/%E9%9B%BB%E5%AD%90%E6%B1%BA%E6%B8%88%E7%AD%89%E4%BB%A3%E8%A1%8C%E6%A5%AD%E8%80%85%E3%81%A8%E3%81%AE%E9%80%A3%E6%90%BA%E5%8F%8A%E3%81%B3%E5%8D%94%E5%83%8D%E3%81%AB%E4%BF%82%E3%82%8B%E6%96%B9%E9%87%9D.pdf,
沖縄海邦銀行,第二地銀,対応する,2020年3月,2020年3月,-,-,https://www.kaiho-bank.co.jp/files/user/pdf/20180228.pdf,
八千代銀行,第二地銀,対応する,2018年8月,2019年度中,2018年8月,2019年度中,http://www.yachiyobank.co.jp/pdf/open_api.pdf,
ｼﾃｲﾊﾞﾝｸ､ｴﾇ･ｴｲ,外銀,対応しない,­,­,­,­,http://www.citigroup.jp/jp/about/disclosures/pdf/0227_2018-approved-jp-esa-policy.pdf,
JPモルガン・チェース銀行,外銀,対応しない,­,­,­,­,http://www.jpmorgan.co.jp/jpmpdf/1320744925922.pdf,
ﾊﾞﾝｸ･ｵﾌﾞ･ｱﾒﾘｶ･ｴﾇ･ｴｲ,外銀,対応しない,­,­,­,­,http://www.japan.ml.com/other_policies/bana_API_Policy_Statement.asp,
香港上海銀行,外銀,対応しない,­,­,­,­,http://www.hsbc.co.jp/-/media/cl-japan/Important-announcements/jp/policy_on_collaboration_with_electronic_settlement_agencies_jp_2018_feb.pdf?la=ja-JP,
ｽﾀﾝﾀﾞｰﾄﾞ ﾁｬｰﾀｰﾄﾞ銀行,外銀,対応しない,­,­,­,­,https://www.sc.com/jp/assets/pws/pdf/jp-electronic-settlement-new.pdf,
バークレイズ銀行,外銀,対応しない,­,­,­,­,https://www.barclays.co.jp/content/dam/barclays-jp/pdfs/bbplc/collaboration-electronic-payment-service-provider.pdf,
クレディ・アグリコル銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
ハナ銀行,外銀,対応しない,­,­,­,­,https://safe.menlosecurity.com/docview/viewer/docN2215E20C8D89ce7595fda2a4f3cc9f20f1be1a21599076aaad4450749097817bb0581ca0e865,
バンク・オブ・インディア,外銀,対応しない,­,­,­,­,http://www.boijapan.com/download/180215-Policy-for-ESA-J.pdf,
兆豐國際商業銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
バンコック銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
バンクネガラインドネシア,外銀,対応しない,­,­,­,­,http://www.ptbni.co.jp/bni/basic-policy-on-coordination-and-collaboration/,
ドイツ銀行,外銀,対応しない,­,­,­,­,https://japan.db.com/jp/content/6739.html,
ブラジル銀行,外銀,対応しない,­,­,­,­,http://www.bb.com.br/docs/pub/atend/toquio/dwn/PrincLiqEletJP.pdf,
ﾕﾅｲﾃｯﾄﾞ･ｵｰﾊﾞｰｼｰｽﾞ銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
ﾕｰﾋﾞｰｴｽ･ｴｲ･ｼﾞｰ,外銀,対応しない,­,­,­,­,https://www.ubs.com/global/en/legalinfo2/jp/disclaimer-10.html,
ビー・エヌ・ピー・パリバ銀行,外銀,対応しない,­,­,­,­,https://safe.menlosecurity.com/docview/viewer/docN8E991F2C89D871dd76e23271d514c91bbb740b1f324b8fc1a0021d6a22ca7999fd4b4c80c721,
オーバーシー・チャイニーズ銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
ソシエテ・ジェネラル銀行,外銀,対応しない,­,­,­,­,https://www.societegenerale.asia/jp/disclosure-information/bank/digital/,
ﾕﾊﾞﾌｰｱﾗﾌﾞ･ﾌﾗﾝｽ連合銀行,外銀,対応しない,­,­,­,­,http://www.ubaf.fr/PG/Network_Tokyo.asp?lang=2,
DBS銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
ｸﾚﾃﾞｨ･ｽｲｽ銀行,外銀,対応しない,­,­,­,­,https://www.credit-suisse.com/jp/ja/legal/electronic-payments.html,
コメルツ銀行,外銀,対応しない,­,­,­,­,,
ウニクレディト銀行,外銀,対応しない,­,­,­,­,店舗に備え置き,
インドステイト銀行,外銀,対応しない,­,­,­,­,https://www.sbijapan.com/customer-care/Open%20API%20policy.pdf,
カナダロイヤル銀行,外銀,対応しない,­,­,­,­,https://www.rbccm.com/assets/rbccm/docs/jp/RBCTKY_electronic_transaction.pdf,
ウリィ銀行,外銀,対応しない,­,­,­,­,https://go.wooribank.com/jp/hs/cc/HSCC300_01L.do,
ｱｲｴﾇｼﾞｰﾊﾞﾝｸ ｴﾇ･ｳﾞｲ,外銀,対応しない,­,­,­,­,店舗に備え置き,
ナショナルオーストラリア銀行,外銀,対応しない,­,­,­,­,https://www.nationalaustraliabank.com/nabjapan/ja/about-us/important_notices/Banks_Electronic_Settlement_Substituting_Business_Operators,
ANZ銀行,外銀,対応しない,­,­,­,­,http://www.anz.co.jp/personal/img/pdf/20180227083313.pdf,
ｵｰｽﾄﾗﾘｱ･ｺﾓﾝｳｪﾙｽ銀行,外銀,対応しない,­,­,­,­,http://www.commbank.co.jp/JP/index.html,
中國銀行,外銀,対応しない,­,­,­,­,http://www.bankofchina.com/jp/jp/bocinfo/bi1/201802/t20180226_11543658.html,
